Label_Name,Total_Percent,Children_Percent,Adult_Percent,Total_Number,Children_Number,Adult_Number
Total,7.2,8.3,6.8,20026,6063,13963
Total_Male,6.2,9.5,5,8461,3521,4940
Total_Female,8.1,7.2,8.4,11565,2542,9022
White,7.3,8,7.1,14246,3663,10582
White_Male,6.2,9.1,5.3,5948,2123,3826
White_Female,8.3,6.9,8.7,8298,1541,6757
Black,9.6,12.5,8.2,3248,1342,1906
Black_Male,8.4,14.4,5.2,1318,779,539
Black_Female,10.6,10.6,10.6,1929,563,1367
Hispanic,4.9,6.3,4.1,1727,794,933
Hispanic_Male,4.6,7.2,3,799,462,337
Hispanic_Female,5.3,5.4,5.2,928,332,595
Other,6.2,7.1,5.9,806,264,542
Other_Male,5.8,8.1,4.9,396,158,238
Other_Female,6.7,6,7,410,106,304
PuertoRican,13.6,17.2,11.7,478,207,271
PuertoRican_Male,13.8,18.9,10.7,250,129,121
PuertoRican_Female,13.4,15,12.7,228,78,150
Mexican,3.7,4.4,3.3,831,371,460
Mexican_Male,3.1,4.8,2,350,207,143
Mexican_Female,4.4,4,4.7,481,164,318
