Year,Total_Percent,Children_Percent,Adult_Percent,Total_Number,Children_Number,Adult_Number
2001,7.4,8.7,6.9,20281,6320,13961
2002,7.2,8.3,6.8,20026,6063,13963
2003,7,8.5,6.4,19836,6213,13623
2004,7.1,8.5,6.7,20545,6187,14358
2005,7.6,8.9,7.2,22227,6531,15697
2006,7.8,9.3,7.3,22876,6819,16057
2007,7.7,9.1,7.3,22879,6703,16177
2008,7.8,9.4,7.3,23333,6953,16380
2009,8.2,9.6,7.7,24567,7111,17456
