Label_Name,Total_Percent,Children_Percent,Adult_Percent,Total_Number,Children_Number,Adult_Number
Overall,7.4,8.7,6.9,20281,6320,13961
Total_Male,6.4,9.9,5,8580,3679,4901
Total_Female,8.3,7.5,8.6,11701,2641,9060
White,7.5,8.6,7.1,14603,3947,10656
White_Male,6.4,9.7,5.3,6080,2289,3791
White_Female,8.5,7.4,8.9,8523,1658,6865
Black,8.6,11.4,7.3,2883,1214,1669
Black_Male,7.4,12.5,4.7,1156,674,482
Black_Female,9.6,10.2,9.3,1727,540,1187
Hispanic,5.9,7.1,5.2,2008,869,1139
Hispanic_Male,5.1,7.8,3.5,863,485,378
Hispanic_Female,6.7,6.5,6.8,1145,384,761
Other,6.2,8.1,5.5,787,290,497
Other_Male,7.5,12.8,5.5,481,231,250
Other_Female,4.9,3.3,5.6,306,59,247
PuertoRican,15.9,18.1,14.7,563,216,347
PuertoRican_Male,14.4,20.4,10.9,248,128,121
PuertoRican_Female,17.3,15.6,18.1,315,88,226
Mexican,3.9,5.1,3.1,830,424,407
Mexican_Male,3.6,6.1,2,393,257,136
Mexican_Female,4.1,4.1,4.2,437,166,271
