Label_Name,Total_Percent,Children_Percent,Adult_Percent,Total_Number,Children_Number,Adult_Number
Total,8.2,9.6,7.7,24567,7111,17456
Total_Male,7,11.3,5.5,10325,4268,6058
Total_Female,9.3,7.9,9.7,14241,2843,11398
White,8.1,8.5,8.1,15957,3473,12484
White_Male,6.8,10.2,5.8,6499,2135,4364
White_Female,9.5,6.7,10.1,9458,1338,8120
Black,11.1,17,8.7,4069,1788,2281
Black_Male,10.1,18.4,6.4,1710,972,739
Black_Female,11.9,15.6,10.6,2358,816,1542
Hispanic,6.3,7.7,5.5,2997,1276,1721
Hispanic_Male,5.8,9.1,4.1,1428,769,659
Hispanic_Female,6.8,6.3,7,1569,507,1062
Other,7.5,9.6,6.6,1544,574,969
Other_Male,6.8,12.6,4.2,688,392,296
Other_Female,8.2,6.4,8.9,856,182,673
PuertoRican,16.7,15.7,17.2,756,243,513
PuertoRican_Male,14.1,21,10.1,291,158,132
PuertoRican_Female,18.8,10.7,22.6,465,85,381
Mexican,5.1,6.6,4.2,1583,757,826
Mexican_Male,4.6,7.7,2.9,764,461,302
Mexican_Female,5.6,5.4,5.7,819,295,524
