Label_Name,Total_Percent,Children_Percent,Adult_Percent,Total_Number,Children_Number,Adult_Number
Total,7.6,8.9,7.2,22227,6531,15697
Total_Male,6.4,10,5.1,9092,3745,5348
Total_Female,8.8,7.8,9.2,13135,2786,10349
White,7.6,8,7.6,15199,3489,11710
White_Male,6.3,8.8,5.6,6146,1986,4160
White_Female,8.9,7,9.4,9053,1503,7550
Black,9.9,13,8.4,3506,1442,2065
Black_Male,8.8,15.2,5.4,1454,859,595
Black_Female,10.8,10.7,10.8,2052,583,1470
Hispanic,6.2,8.6,5,2622,1237,1386
Hispanic_Male,5.3,9.7,3,1141,715,427
Hispanic_Female,7.2,7.4,7.1,1481,522,959
Other,6.4,9.1,5.3,899,363,536
Other_Male,5,9.4,3.3,351,184,167
Other_Female,7.7,8.9,7.2,548,179,369
PuertoRican,16.9,19.9,15.4,692,269,423
PuertoRican_Male,15.9,24.4,11.1,299,167,133
PuertoRican_Female,17.7,15.3,18.7,393,102,290
Mexican,5.2,7.4,3.9,1400,736,664
Mexican_Male,4.4,7.7,2.5,606,387,219
Mexican_Female,6,7.1,5.4,794,349,445
