Label_Name,Total_Percent,Children_Percent,Adult_Percent,Total_Number,Children_Number,Adult_Number
Total,7.1,8.5,6.7,20545,6187,14358
Total_Male,6.4,10.2,5,8937,3790,5148
Total_Female,7.9,6.7,8.3,11608,2397,9210
White,7.3,8.2,7.1,14475,3611,10864
White_Male,6.3,9.5,5.3,6024,2132,3892
White_Female,8.3,6.9,8.7,8451,1480,6972
Black,9.4,12.8,7.8,3301,1421,1880
Black_Male,9.6,16.5,6,1569,932,637
Black_Female,9.2,9,9.3,1731,488,1243
Hispanic,5.2,6.9,4.3,2124,961,1163
Hispanic_Male,5.3,8.6,3.5,1098,613,485
Hispanic_Female,5.2,5.1,5.2,1026,348,677
Other,4.6,4.9,4.5,645,193,451
Other_Male,3.5,5.7,2.6,246,113,133
Other_Female,5.9,4.1,6.6,399,81,318
PuertoRican,14.1,18.4,11.7,506,231,275
PuertoRican_Male,14.7,24,9.4,257,153,104
PuertoRican_Female,13.5,12.7,13.8,249,78,171
Mexican,4.2,5.4,3.5,1129,525,604
Mexican_Male,4.3,6.9,2.9,611,350,261
Mexican_Female,4.1,3.8,4.2,518,175,343
