Label_Name,Total_Percent,Children_Percent,Adult_Percent,Total_Number,Children_Number,Adult_Number
Total,7.8,9.4,7.3,23333,6953,16380
Total_Male,7.1,11.4,5.7,10429,4293,6136
Total_Female,8.5,7.4,8.8,12904,2660,10244
White,7.8,8.8,7.5,15181,3638,11542
White_Male,7,11.2,5.8,6635,2350,4285
White_Female,8.6,6.4,9.1,8546,1288,7258
Black,10.3,15.7,8.1,3805,1698,2107
Black_Male,10.3,18.4,6.5,1776,1026,750
Black_Female,10.3,12.8,9.4,2029,672,1357
Hispanic,5.8,6.7,5.4,2694,1055,1639
Hispanic_Male,5.2,7.1,4.3,1241,569,672
Hispanic_Female,6.5,6.3,6.6,1453,486,967
Other,8.3,9.5,7.7,1653,562,1091
Other_Male,8,11.4,6.5,777,348,429
Other_Female,8.5,7.5,8.9,876,214,662
PuertoRican,12.8,15.5,11.5,573,235,338
PuertoRican_Male,13.1,20.4,8.7,284,166,118
PuertoRican_Female,12.6,9.7,13.8,288,68,220
Mexican,4.9,5.9,4.3,1463,638,825
Mexican_Male,3.8,5.3,2.9,576,285,292
Mexican_Female,6.2,6.6,5.9,886,354,533
