Label_Name,Total_Percent,Children_Percent,Adult_Percent,Total_Number,Children_Number,Adult_Number
Total,7.8,9.3,7.3,22876,6819,16057
Total_Male,7,11,5.6,10026,4122,5904
Total_Female,8.6,7.5,8.9,12850,2697,10152
White,7.9,8.8,7.7,15573,3771,11801
White_Male,7,10.2,6.1,6752,2259,4493
White_Female,8.8,7.2,9.2,8821,1513,7308
Black,9.2,12.7,7.7,3391,1442,1949
Black_Male,8.4,14.2,5.4,1424,812,612
Black_Female,10,11.2,9.5,1967,630,1337
Hispanic,6.4,9,5.1,2775,1328,1447
Hispanic_Male,5.9,11.8,2.9,1310,889,421
Hispanic_Female,6.9,6.1,7.4,1465,438,1026
Other,7.1,6.9,7.2,1137,278,859
Other_Male,6.9,7.9,6.6,541,162,379
Other_Female,7.3,6,7.7,597,116,481
PuertoRican,17.2,25.7,13.1,682,330,352
PuertoRican_Male,14.5,32.4,5.6,281,209,72
PuertoRican_Female,19.7,18.9,20.1,401,122,280
Mexican,5,6.6,4.1,1418,673,745
Mexican_Male,5,9.1,2.9,746,470,275
Mexican_Female,5,4,5.5,672,203,469
